idx,band,song,url,lufs,lra,rms_std,crest,tempo_acf,pulse_clarity,vbl,onset_rate,mode_score,key,harmonic_ratio,centroid,rolloff,contrast,flatness,flux,zcr,rms,tempo_librosa,has_audio
5,afterglow,Hey-day狂騒曲(カプリチオ),https://youtu.be/czHlLBls4oo,-10.49824,3.59138,18.24295,11.71948,161.49902,5.08434,0.00023,1.99827,0.07348,Dmaj,0.6841,2977.45856,6101.67646,21.15372,0.06164,1.26697,0.15403,0.26858,161.49902,1
10,afterglow,Y.O.L.O!!!!!,https://youtu.be/NWTkdgPu9v8,-10.48088,3.25731,18.01698,11.94535,103.35938,4.40902,0.00079,2.10384,0.25547,Fmaj,0.63572,2945.80715,5886.98748,20.79584,0.05846,1.18589,0.16438,0.27487,103.35938,1
24,afterglow,Crow Song,https://youtu.be/mpPPaC8vfsU,-10.7668,3.43084,16.23813,11.25288,117.45384,4.34487,0.00045,2.63718,0.13892,D#maj,0.62117,2827.15216,5594.73956,21.39262,0.05177,1.13846,0.15291,0.27491,117.45384,1
84,ave_mujica,Ave Mujica,https://youtu.be/QDsd0nyzwz0,-18.68404,4.55526,46.05788,11.65304,112.34715,4.79621,0.00079,1.80223,-0.29608,Gmin,0.72912,2221.56153,4464.08947,20.8782,0.11387,1.11311,0.10757,0.10059,112.34715,1
78,ave_mujica,天球のMúsica,https://youtu.be/2Bo-ULStqLo,-8.66605,5.98232,19.06816,10.31227,129.19922,4.17496,0.00044,0.2283,0.28884,Fmaj,0.84073,2650.72656,5485.8519,22.19305,0.05065,1.03327,0.126,0.34069,129.19922,1
77,ave_mujica,顔,https://youtu.be/cVfQBLdIUXk,-9.18978,1.70484,9.40021,10.45645,143.55469,4.85665,0.00015,1.95728,-0.10414,F#min,0.73567,3075.53269,6428.09056,21.05252,0.05481,1.2742,0.14173,0.34634,143.55469,1
113,hello_happy_world,ゴーカ！ごーかい！？ファントムシーフ！,https://youtu.be/35xJFtwHx7Q,-10.68672,2.92273,16.69637,11.66205,107.66602,4.59831,0.00092,2.65198,-0.15056,G#min,0.65089,2716.43447,5491.79465,22.41394,0.04271,1.22734,0.1445,0.26737,107.66602,1
106,hello_happy_world,キミがいなくちゃっ！,https://youtu.be/9itZp8utiAw,-11.25927,2.25771,20.31724,12.19597,123.04688,5.09695,0.00059,2.86747,0.30929,Dmaj,0.73866,2466.89402,4975.30821,23.21989,0.03733,1.20898,0.12667,0.2515,123.04688,1
149,hello_happy_world,Listen to Smile!,https://youtu.be/5Bz8TBMardI,-10.0668,3.02892,17.45834,10.83413,129.19922,4.99464,0.00014,2.24027,-0.01416,Emin,0.76726,2401.62291,5037.27679,22.86258,0.03107,1.20767,0.11781,0.29449,129.19922,1
210,morfonica,Feathered Dreams,https://youtu.be/sAnwgtsAzs8,-8.92741,3.32465,17.95403,9.40552,117.45384,4.59781,0.00056,2.79635,-0.11334,Amin,0.80906,2737.47873,5521.10091,22.30822,0.03833,1.17208,0.1264,0.35301,117.45384,1
193,morfonica,Polyphonyscape,https://youtu.be/I6h4Rm32k-I,-10.36064,7.48251,16.91294,11.54043,151.99908,4.60388,0.00018,1.67047,0.16662,F#maj,0.71525,2904.47199,5924.43958,22.70214,0.04659,1.24801,0.138,0.27718,151.99908,1
197,morfonica,両翼のBrilliance,https://youtu.be/O0jB7IA5tZg,-9.95718,3.06936,16.55753,9.75583,117.45384,4.42904,0.00052,1.13845,-0.20617,Amin,0.85432,2720.74221,5706.42809,22.26546,0.03651,1.14196,0.11533,0.33343,117.45384,1
248,mugendai_mutype,コミュ着火Fire!,https://youtu.be/SI8q0trRdOE,-11.84896,2.9025,5.55794,12.20946,99.38401,4.4327,0.00063,2.23763,-0.02996,Fmin,0.72987,3229.22389,6932.04446,20.97614,0.0565,1.33501,0.15146,0.25767,99.38401,1
244,mugendai_mutype,真夜中遊園地,https://youtu.be/KD-EeGTr53I,-11.44425,3.7439,20.89732,11.40542,129.19922,4.54478,0.00024,2.46957,-0.16144,Dmin,0.7927,3166.38729,6951.29012,20.77631,0.06373,1.32845,0.13306,0.26662,129.19922,1
239,mugendai_mutype,みゅーたんとミュータント,https://youtu.be/qnHJDWgLkvw,-12.0917,3.81292,19.30797,10.95921,151.99908,7.39915,0.00015,4.51725,0.11904,Dmaj,0.70183,2411.36356,5365.31181,22.12908,0.03166,1.99671,0.09246,0.27484,151.99908,1
267,mygo,春日影 (MyGO!!!!! ver.),https://youtu.be/NycFr6D6DSw,-9.50928,4.76887,12.08506,9.51677,99.38401,4.56733,0.00037,2.28749,0.41133,Bmaj,0.83456,2145.46685,4429.38495,22.88001,0.01834,1.07582,0.09181,0.34841,99.38401,1
260,mygo,迷星叫,https://youtu.be/V6gq-6dAbHA,-8.85931,3.97581,23.01544,9.30917,129.19922,4.34204,0.00047,2.98997,0.21028,G#maj,0.71671,2287.61414,4816.48959,21.87754,0.03809,1.09713,0.09827,0.36658,129.19922,1
269,mygo,迷路日々,https://youtu.be/d0E91J6UHSw,-7.933,3.60739,13.71195,9.10352,129.19922,4.33388,0.00032,2.5574,0.02865,Dmaj,0.82502,2425.52135,4945.70033,21.62875,0.03148,1.02415,0.11082,0.39815,129.19922,1
309,pastel_palettes,きゅ～まい＊flower,https://youtu.be/_Y2me3JTTd4,-10.57483,3.49428,19.95115,12.06066,123.04688,4.59156,0.00035,2.85585,0.00037,F#maj,0.70346,3010.08033,6195.64942,22.11678,0.06045,1.19181,0.16261,0.26717,123.04688,1
330,pastel_palettes,DISCOTHEQUE,https://youtu.be/OK782ls3yH8,-11.39339,3.80362,16.41833,12.40757,143.55469,5.09561,0.00012,3.50644,-0.00804,Amin,0.66127,2852.75357,5859.3753,22.23815,0.04687,1.27751,0.14954,0.2484,143.55469,1
325,pastel_palettes,そばかす,https://youtu.be/jSvmpgJLlR4,-9.99914,3.80321,16.53307,11.46883,86.13281,4.63022,0.0001,3.82333,0.14856,Gmaj,0.74624,2914.5436,5740.44727,22.35357,0.04987,1.14173,0.17126,0.27683,172.26562,1
405,poppin_party,Returns,https://youtu.be/zWKV5yudE18,-11.05748,6.41091,17.38464,11.41435,92.28516,4.71693,0.00114,1.8102,0.10532,Cmaj,0.767,2234.73581,4479.64888,22.95523,0.02961,1.09495,0.11161,0.25738,92.28516,1
447,poppin_party,START!! True dreams,https://youtu.be/SQ_-nPf-SNI,-9.22486,2.85103,14.07285,9.56034,89.10291,4.97082,0.00141,3.32675,0.25382,Fmaj,0.73883,2703.06383,5691.84523,21.57197,0.03815,1.18965,0.1202,0.34669,89.10291,1
389,poppin_party,B.O.F,https://youtu.be/dW25FkbQC58,-10.86543,2.50966,21.50864,11.66087,117.45384,4.68757,0.00044,3.22065,0.30833,F#maj,0.78096,2707.23463,5579.27394,21.85759,0.04919,1.18983,0.13183,0.27092,117.45384,1
500,raise_a_suilen,EXPOSE ‘Burn out!!!’,https://youtu.be/oXN2YFZH0ig,-10.10376,3.8871,14.57804,11.24783,129.19922,4.32364,0.00038,0.87053,-0.25462,Cmin,0.68717,3169.22476,6487.82635,21.35759,0.06921,1.19186,0.17277,0.28097,129.19922,1
533,raise_a_suilen,HOWLING AMBITION,https://youtu.be/XYMoaMqyf6s,-8.40453,3.03881,17.71736,9.51711,135.99918,3.94805,0.00025,0.34807,-0.21862,Gmin,0.67798,3104.0348,6487.88004,20.69032,0.07063,1.13201,0.15661,0.35322,135.99918,1
501,raise_a_suilen,R・I・O・T,https://youtu.be/JYbew8XnCc8,-10.80912,3.36124,13.86907,11.85787,135.99918,4.08328,0.00029,1.57214,-0.09798,Gmin,0.74795,3087.52334,6296.21158,21.21842,0.06931,1.11381,0.16625,0.25741,135.99918,1
620,roselia,礎の花冠,https://youtu.be/GyZ4UFCbWZo,-9.65544,3.6161,16.67452,10.11424,117.45384,4.66379,0.00055,2.88337,-0.02033,F#min,0.71873,2623.78899,5580.3301,21.84174,0.03632,1.20332,0.11265,0.3325,117.45384,1
591,roselia,Song I am.,https://youtu.be/Kohn9PRanoY,-10.39937,4.87846,23.66389,12.00913,129.19922,4.4033,0.00055,1.17493,0.00141,Fmaj,0.69807,2736.64933,5621.49548,21.0789,0.05889,1.13539,0.13198,0.2792,129.19922,1
592,roselia,Sage der Rosen,https://youtu.be/z0jU3sNiA44,-10.4925,6.63638,17.16133,10.64643,161.49902,4.19475,0.00013,3.36781,-0.19004,Dmin,0.7618,2221.79995,4653.13334,21.7577,0.02758,1.11551,0.10222,0.28861,161.49902,1
